gender,Topic,Semester,GradeID,SectionID,raisedhands,VisITedResources,AnnouncementsView,Discussion,EngagementScore,StudentAbsenceDays,AttendanceRisk,Class,PerformanceProxy,RiskStatus
M,Spanish,S,G-11,B,10,51,40,40,35.2,Above-7,1,L,50,At Risk
M,English,S,G-11,B,70,50,33,41,48.5,Above-7,1,M,80,On Track
M,Math,S,G-11,B,70,58,73,91,73.0,Under-7,0,H,95,On Track
F,French,S,G-11,B,70,50,30,49,49.8,Under-7,0,M,80,On Track
M,Science,S,G-11,B,70,50,33,40,48.2,Under-7,0,M,80,On Track
M,Science,S,G-07,B,22,51,48,10,32.8,Above-7,1,L,50,At Risk
F,Science,S,G-07,B,62,68,48,80,64.5,Under-7,0,M,80,On Track
F,Science,S,G-07,B,82,89,58,50,69.8,Under-7,0,H,95,On Track
M,Science,S,G-07,B,72,80,58,66,69.0,Under-7,0,M,80,On Track
F,French,S,G-02,B,70,82,3,73,57.0,Under-7,0,H,95,On Track
F,French,S,G-02,B,60,82,93,43,69.5,Above-7,1,M,80,On Track
M,French,S,G-02,B,55,72,83,14,56.0,Above-7,1,M,80,On Track
F,French,S,G-02,B,72,65,73,66,69.0,Under-7,0,H,95,On Track
M,French,S,G-02,B,51,82,53,43,57.2,Under-7,0,M,80,On Track
M,French,S,G-02,B,80,92,83,43,74.5,Under-7,0,H,95,On Track
M,French,S,G-02,B,60,52,23,33,42.0,Under-7,0,H,95,On Track
M,French,S,G-02,B,30,12,29,23,23.5,Under-7,0,M,80,On Track
M,French,S,G-02,B,40,62,83,33,54.5,Under-7,0,H,95,On Track
M,French,S,G-02,B,60,52,23,33,42.0,Under-7,0,M,80,On Track
M,French,S,G-02,B,20,22,53,13,27.0,Above-7,1,L,50,At Risk
M,French,S,G-02,B,20,52,23,33,32.0,Above-7,1,L,50,At Risk
F,French,S,G-02,B,50,62,73,43,57.0,Above-7,1,M,80,On Track
M,French,S,G-02,B,10,2,13,53,19.5,Above-7,1,L,50,At Risk
M,French,S,G-02,B,60,52,23,33,42.0,Under-7,0,H,95,On Track
F,French,S,G-02,B,15,52,83,11,40.2,Under-7,0,M,80,On Track
F,French,S,G-02,B,80,42,33,13,42.0,Under-7,0,H,95,On Track
M,French,S,G-02,B,40,51,20,33,36.0,Under-7,0,M,80,On Track
F,French,S,G-02,B,60,70,63,93,71.5,Under-7,0,H,95,On Track
M,French,S,G-02,B,50,62,13,33,39.5,Above-7,1,L,50,At Risk
M,Arabic,S,G-08,A,85,75,62,53,68.8,Under-7,0,H,95,On Track
F,Arabic,S,G-08,A,25,15,32,53,31.2,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,10,35,30,13,22.0,Above-7,1,L,50,At Risk
M,Arabic,S,G-08,A,87,65,82,33,66.8,Under-7,0,H,95,On Track
M,Arabic,S,G-08,A,85,15,22,53,43.8,Under-7,0,M,80,On Track
F,Arabic,S,G-08,A,80,71,52,51,63.5,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,75,71,72,53,67.8,Under-7,0,H,95,On Track
F,Arabic,S,G-08,A,85,66,12,23,46.5,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,23,25,32,53,33.2,Under-7,0,L,50,On Track
M,Arabic,S,G-08,A,15,25,37,13,22.5,Above-7,1,L,50,At Risk
M,Arabic,S,G-08,A,95,91,62,53,75.2,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,81,75,62,53,67.8,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,53,75,72,23,55.8,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,15,43,42,33,33.2,Under-7,0,M,80,On Track
M,Arabic,S,G-08,A,92,65,62,53,68.0,Under-7,0,H,95,On Track
M,Arabic,S,G-08,A,83,75,62,53,68.2,Under-7,0,H,95,On Track
M,Arabic,S,G-08,B,27,15,42,53,34.2,Above-7,1,L,50,At Risk
M,Arabic,S,G-08,B,45,95,12,13,41.2,Under-7,0,M,80,On Track
M,Arabic,S,G-08,B,15,90,52,83,60.0,Under-7,0,H,95,On Track
F,Arabic,S,G-08,A,45,58,52,43,49.5,Under-7,0,H,95,On Track
M,Arabic,S,G-08,B,25,5,12,33,18.8,Under-7,0,M,80,On Track
F,Arabic,S,G-08,B,22,51,42,40,38.8,Under-7,0,M,80,On Track
M,Arabic,S,G-08,B,29,10,12,24,18.8,Above-7,1,L,50,At Risk
F,Arabic,S,G-08,B,72,51,42,24,47.2,Above-7,1,H,95,On Track
M,Arabic,S,G-08,B,67,31,42,14,38.5,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,17,21,42,14,23.5,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,27,41,49,14,32.8,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,70,81,39,84,68.5,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,27,90,82,14,53.2,Under-7,0,H,95,On Track
M,Spanish,S,G-08,C,17,61,42,14,33.5,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,87,81,42,19,57.2,Under-7,0,H,95,On Track
M,Spanish,S,G-08,C,7,61,22,14,26.0,Above-7,1,L,50,At Risk
M,Spanish,S,G-08,C,17,50,2,4,18.2,Above-7,1,L,50,At Risk
M,Spanish,S,G-08,C,5,21,42,14,20.5,Above-7,1,L,50,At Risk
M,Spanish,S,G-08,C,27,41,32,61,40.2,Above-7,1,M,80,At Risk
F,Spanish,S,G-08,C,87,88,40,10,56.2,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,96,61,42,94,73.2,Under-7,0,H,95,On Track
M,Spanish,S,G-08,C,57,51,46,34,47.0,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,77,69,41,13,50.0,Under-7,0,M,80,On Track
M,Spanish,S,G-08,C,80,51,40,24,48.8,Under-7,0,M,80,On Track
M,Spanish,S,G-08,B,62,61,82,40,61.2,Under-7,0,M,80,On Track
M,Spanish,S,G-08,A,72,83,12,90,64.2,Under-7,0,H,95,On Track
M,Spanish,S,G-08,B,87,81,22,70,65.0,Under-7,0,H,95,On Track
M,Spanish,S,G-08,A,72,90,12,30,51.0,Under-7,0,M,80,On Track
M,Spanish,S,G-08,B,2,11,62,30,26.2,Under-7,0,L,50,On Track
M,Spanish,S,G-08,A,5,3,2,10,5.0,Under-7,0,L,50,On Track
M,Math,S,G-11,B,73,84,77,81,78.8,Above-7,1,H,95,On Track
M,Spanish,S,G-08,A,5,17,21,10,13.2,Above-7,1,L,50,At Risk
M,Spanish,S,G-08,A,51,42,12,29,33.5,Above-7,1,M,80,At Risk
M,Spanish,S,G-08,A,9,7,21,20,14.2,Above-7,1,L,50,At Risk
M,Quran,F,G-07,A,19,72,15,50,39.0,Above-7,1,M,80,At Risk
F,Science,S,G-07,B,32,80,58,46,54.0,Above-7,1,M,80,On Track
M,Science,S,G-07,B,32,60,58,66,54.0,Above-7,1,M,80,On Track
M,Science,S,G-07,B,12,8,18,26,16.0,Above-7,1,L,50,At Risk
M,Science,S,G-07,B,52,10,13,6,20.2,Above-7,1,L,50,At Risk
M,Science,S,G-07,B,72,80,58,66,69.0,Above-7,1,M,80,On Track
F,Science,S,G-07,B,72,80,58,66,69.0,Above-7,1,M,80,On Track
M,Science,S,G-07,B,92,80,88,76,84.0,Under-7,0,H,95,On Track
M,Science,S,G-07,B,72,80,98,96,86.5,Under-7,0,H,95,On Track
M,Science,S,G-07,B,72,80,58,86,74.0,Under-7,0,M,80,On Track
M,Science,S,G-07,B,22,20,18,6,16.5,Above-7,1,L,50,At Risk
M,Science,S,G-07,B,12,20,38,46,29.0,Above-7,1,M,80,At Risk
M,IT,S,G-07,B,70,92,83,85,82.5,Under-7,0,H,95,On Track
F,IT,S,G-06,A,50,40,52,66,52.0,Under-7,0,M,80,On Track
F,Science,S,G-06,A,80,94,62,77,78.2,Under-7,0,H,95,On Track
F,Math,S,G-06,A,87,48,82,96,78.2,Above-7,1,M,80,On Track
F,Quran,S,G-06,A,70,40,2,16,32.0,Above-7,1,L,50,At Risk
M,IT,S,G-04,A,65,86,62,40,63.2,Above-7,1,M,80,On Track
M,Math,S,G-04,A,15,6,32,40,23.2,Under-7,0,H,95,On Track
M,English,S,G-04,A,19,74,32,17,35.5,Above-7,1,L,50,At Risk
F,Science,S,G-04,A,69,76,82,94,80.2,Under-7,0,M,80,On Track
M,Arabic,S,G-04,A,39,26,12,44,30.2,Above-7,1,L,50,At Risk
M,English,S,G-04,A,59,97,42,70,67.0,Under-7,0,H,95,On Track
M,History,S,G-04,A,10,17,12,40,19.8,Under-7,0,H,95,On Track
F,History,S,G-04,A,80,87,72,60,74.8,Under-7,0,H,95,On Track
F,History,S,G-04,A,70,99,66,65,75.0,Under-7,0,M,80,On Track
F,History,S,G-04,A,80,97,86,95,89.5,Under-7,0,M,80,On Track
M,English,S,G-04,A,69,34,12,17,33.0,Above-7,1,L,50,At Risk
M,History,S,G-04,A,10,17,12,14,13.2,Above-7,1,L,50,At Risk
M,History,S,G-04,A,61,97,82,64,76.0,Above-7,1,M,80,On Track
F,History,S,G-04,A,21,27,52,34,33.5,Above-7,1,M,80,At Risk
M,Math,S,G-04,A,49,94,42,7,48.0,Above-7,1,M,80,On Track
F,English,F,G-06,A,70,64,42,32,52.0,Under-7,0,M,80,On Track
F,English,S,G-06,A,79,84,82,37,70.5,Under-7,0,H,95,On Track
M,English,F,G-06,A,19,80,12,17,32.0,Above-7,1,M,80,At Risk
M,English,S,G-06,A,11,70,32,29,35.5,Above-7,1,M,80,At Risk
M,English,F,G-06,A,10,8,10,10,9.5,Above-7,1,M,80,At Risk
M,English,S,G-06,A,18,28,40,20,26.5,Above-7,1,M,80,At Risk
F,English,F,G-06,A,90,84,52,30,64.0,Under-7,0,H,95,On Track
F,English,S,G-06,A,92,81,32,36,60.2,Under-7,0,M,80,On Track
M,English,F,G-06,A,42,21,2,16,20.2,Under-7,0,M,80,On Track
M,English,S,G-06,A,22,20,6,26,18.5,Under-7,0,H,95,On Track
F,English,F,G-06,A,95,82,82,70,82.2,Under-7,0,H,95,On Track
F,English,S,G-06,A,90,62,80,60,73.0,Under-7,0,H,95,On Track
M,English,F,G-06,A,72,21,22,26,35.2,Under-7,0,H,95,On Track
M,English,S,G-06,A,92,31,42,27,48.0,Under-7,0,H,95,On Track
M,English,F,G-06,A,82,31,52,25,47.5,Under-7,0,M,80,On Track
M,English,S,G-06,A,72,41,46,27,46.5,Under-7,0,M,80,On Track
M,English,F,G-06,A,74,71,56,37,59.5,Under-7,0,H,95,On Track
M,English,S,G-06,A,74,60,56,37,56.8,Under-7,0,H,95,On Track
F,English,F,G-06,A,95,94,72,80,85.2,Under-7,0,H,95,On Track
F,English,S,G-06,A,97,87,82,86,88.0,Under-7,0,H,95,On Track
M,English,F,G-06,A,40,38,32,36,36.5,Above-7,1,M,80,At Risk
M,English,S,G-06,A,41,39,35,39,38.5,Above-7,1,M,80,At Risk
F,English,F,G-06,A,51,79,85,89,76.0,Under-7,0,H,95,On Track
F,English,S,G-06,A,81,79,91,85,84.0,Under-7,0,H,95,On Track
M,English,F,G-06,A,71,70,65,69,68.8,Under-7,0,M,80,On Track
M,English,S,G-06,A,75,71,76,80,75.5,Under-7,0,M,80,On Track
F,Science,F,G-04,A,49,36,32,44,40.2,Above-7,1,L,50,At Risk
F,Science,S,G-04,A,42,24,12,24,25.5,Above-7,1,L,50,At Risk
F,Science,F,G-04,A,90,86,82,74,83.0,Under-7,0,H,95,On Track
F,Science,S,G-04,A,62,64,72,84,70.5,Under-7,0,H,95,On Track
M,Science,F,G-04,A,90,86,82,74,83.0,Above-7,1,M,80,On Track
M,Science,S,G-04,A,62,64,72,84,70.5,Above-7,1,M,80,On Track
F,Science,F,G-04,A,98,87,86,84,88.8,Under-7,0,H,95,On Track
F,Science,S,G-04,A,72,74,82,89,79.2,Under-7,0,H,95,On Track
M,Science,F,G-04,A,18,17,26,34,23.8,Above-7,1,M,80,At Risk
M,Science,S,G-04,A,32,14,32,29,26.8,Above-7,1,M,80,At Risk
M,Science,F,G-04,A,10,12,20,13,13.8,Above-7,1,L,50,At Risk
M,Science,S,G-04,A,22,34,15,9,20.0,Above-7,1,L,50,At Risk
F,Science,F,G-04,B,11,20,21,23,18.8,Under-7,0,M,80,On Track
F,Science,S,G-04,B,12,44,25,39,30.0,Under-7,0,M,80,On Track
F,Science,F,G-04,B,15,50,24,43,33.0,Under-7,0,M,80,On Track
F,Science,S,G-04,B,32,44,29,89,48.5,Under-7,0,M,80,On Track
M,Science,F,G-04,B,65,59,74,83,70.2,Under-7,0,H,95,On Track
M,Science,S,G-04,B,72,64,59,89,71.0,Under-7,0,H,95,On Track
M,Science,F,G-04,B,95,57,74,89,78.8,Above-7,1,M,80,On Track
M,Science,S,G-04,B,82,84,79,79,81.0,Above-7,1,M,80,On Track
M,Science,F,G-04,B,25,29,34,33,30.2,Above-7,1,M,80,At Risk
M,Science,S,G-04,B,42,34,29,39,36.0,Above-7,1,M,80,At Risk
F,Science,F,G-04,B,55,79,44,43,55.2,Under-7,0,H,95,On Track
F,Science,S,G-04,B,62,64,69,49,61.0,Under-7,0,H,95,On Track
F,Science,F,G-04,B,78,88,74,83,80.8,Under-7,0,H,95,On Track
F,Science,S,G-04,B,72,84,89,89,83.5,Under-7,0,H,95,On Track
M,French,F,G-02,A,60,92,83,23,64.5,Under-7,0,H,95,On Track
M,French,S,G-02,A,50,90,83,13,59.0,Under-7,0,H,95,On Track
F,French,F,G-02,A,60,97,13,3,43.2,Under-7,0,H,95,On Track
F,French,S,G-02,A,50,95,23,10,44.5,Under-7,0,H,95,On Track
F,French,F,G-02,A,60,87,23,11,45.2,Above-7,1,M,80,At Risk
F,French,S,G-02,A,50,80,20,15,41.2,Above-7,1,M,80,At Risk
M,French,F,G-02,A,10,15,10,21,14.0,Above-7,1,L,50,At Risk
M,French,S,G-02,A,30,10,20,5,16.2,Above-7,1,L,50,At Risk
M,French,F,G-02,A,24,35,18,31,27.0,Under-7,0,M,80,On Track
M,French,S,G-02,A,27,20,33,35,28.8,Under-7,0,M,80,On Track
M,French,F,G-02,A,10,15,10,21,14.0,Above-7,1,L,50,At Risk
M,French,S,G-02,A,30,10,20,5,16.2,Above-7,1,L,50,At Risk
F,French,F,G-02,A,80,77,63,83,75.8,Under-7,0,M,80,On Track
F,French,S,G-02,A,75,85,73,80,78.2,Under-7,0,M,80,On Track
M,French,F,G-02,A,40,7,50,41,34.5,Above-7,1,L,50,At Risk
M,French,S,G-02,A,35,2,29,33,24.8,Above-7,1,L,50,At Risk
F,French,F,G-02,A,10,90,30,21,37.8,Under-7,0,M,80,On Track
F,French,S,G-02,A,25,80,29,23,39.2,Under-7,0,M,80,On Track
M,French,F,G-02,A,10,8,9,3,7.5,Above-7,1,L,50,At Risk
M,French,S,G-02,A,15,7,12,7,10.2,Above-7,1,L,50,At Risk
F,French,F,G-02,A,70,90,20,21,50.2,Under-7,0,M,80,On Track
F,French,S,G-02,A,75,80,15,20,47.5,Under-7,0,M,80,On Track
F,French,F,G-02,B,78,98,10,11,49.2,Under-7,0,M,80,On Track
F,French,S,G-02,B,79,89,11,14,48.2,Under-7,0,M,80,On Track
F,French,F,G-02,B,16,90,15,11,33.0,Under-7,0,M,80,On Track
